Id,en,es,fr,de,pt,it,nl,ru,ja,ko,zh,zh_TW,ar,hi,tr,pl,th,id
Flash,Flash,Flash,Flash,Blitz,Flash,Flash,Flits,Вспышка,フラッシュ,플래시,闪光灯,閃光燈,فلاش,फ्लैश,Flaş,Lampa,แฟลช,Flash
Flat,Flat,,,,,,,,,,,,,,,,,
Flip,Flip,Voltear,Retourner,Umdrehen,Virar,Capovolgi,Omdraaien,Перевернуть,反転,뒤집기,翻转,翻轉,قلب,फ्लिप,Çevir,Odwróć,พลิก,Balik
Free,Free,Gratis,Gratuit,Kostenlos,Grátis,Gratuito,Gratis,Бесплатно,無料,무료,免费,免費,مجاني,मुफ़्त,Ücretsiz,Bezpłatnie,ฟรี,Gratis
Generate,Generate,,,,,,,,,,,,,,,,,
Generate Seats,Generate Seats,,,,,,,,,,,,,,,,,
Guest,Guest,,,,,,,,,,,,,,,,,
Hybrid,Hybrid,Híbrido,Hybride,Hybrid,Híbrido,Ibrido,Hybride,Гибридный,ハイブリッド,하이브리드,混合,混合,هجين,हाइब्रिड,Hibrit,Hybrydowy,ไฮบริด,Hibrida
Label,Label,Etiqueta,Étiquette,Bezeichnung,Rótulo,Etichetta,Label,Метка,ラベル,라벨,标签,標籤,التسمية,लेबल,Etiket,Etykieta,ป้ายกำกับ,Label
Location,Location,Ubicación,Localisation,Standort,Localização,Posizione,Locatie,Местоположение,場所,위치,位置,位置,الموقع,स्थान,Konum,Lokalizacja,ตำแหน่ง,Lokasi
Market data may be outdated,Market data may be outdated,,,,,,,,,,,,,,,,,
Name,Name,Nombre,Nom,Name,Nome,Nome,Naam,Имя,名前,이름,名称,名稱,الاسم,नाम,Ad,Nazwa,ชื่อ,Nama
New,New,,,,,,,,,,,,,,,,,
New Venue,New Venue,Nuevo local,Nouveau lieu,Neuer Veranstaltungsort,Novo local,Nuovo luogo,Nieuwe locatie,Новое место,新しい会場,새 장소,新场地,新場地,مكان جديد,नया स्थल,Yeni mekan,Nowe miejsce,สถานที่ใหม่,Tempat Baru
No data available,No data available,,,,,,,,,,,,,,,,,
No venues yet,No venues yet,,,,,,,,,,,,,,,,,
Offline Cache,Offline Cache,,,,,,,,,,,,,,,,,
Popular,Popular,,,,,,,,,,,,,,,,,
Price Paid,Price Paid,Precio pagado,Prix payé,Bezahlter Preis,Preço pago,Prezzo pagato,Betaalde prijs,Оплаченная цена,支払価格,지불 가격,支付价格,支付價格,السعر المدفوع,भुगतान की गई कीमत,Ödenen fiyat,Zapłacona cena,ราคาที่จ่าย,Harga Dibayar
Pricing Tier,Pricing Tier,,,,,,,,,,,,,,,,,
Processing...,Processing...,Procesando...,Traitement en cours...,Verarbeitung...,Processando...,Elaborazione...,Verwerken...,Обработка...,処理中...,처리 중...,处理中...,處理中...,جارٍ المعالجة...,प्रसंस्करण...,İşleniyor...,Przetwarzanie...,กำลังประมวลผล...,Memproses...
Recurring,Recurring,,,,,,,,,,,,,,,,,
Redeemable,Redeemable,,,,,,,,,,,,,,,,,
Redeemed,Redeemed,Canjeado,Utilisé,Eingelöst,Resgatado,Riscattato,Ingewisseld,Использовано,使用済み,사용됨,已兑换,已兌換,تم الاستخدام,भुनाया गया,Kullanıldı,Zrealizowano,แลกแล้ว,Ditukarkan
Regenerate Seats,Regenerate Seats,,,,,,,,,,,,,,,,,
Retry,Retry,Reintentar,Réessayer,Wiederholen,Tentar novamente,Riprova,Opnieuw,Повторить,再試行,다시 시도,重试,重試,إعادة المحاولة,पुनः प्रयास,Tekrar dene,Ponów,ลองอีกครั้ง,Coba lagi
Rows,Rows,,,,,,,,,,,,,,,,,
Scanner unavailable,Scanner unavailable,,,,,,,,,,,,,,,,,
Seated,Seated,,,,,,,,,,,,,,,,,
Seats/Row,Seats/Row,,,,,,,,,,,,,,,,,
Section,Section,Sección,Section,Abschnitt,Seção,Sezione,Sectie,Секция,セクション,섹션,区域,區域,القسم,अनुभाग,Bölüm,Sekcja,ส่วน,Bagian
Select,Select,,,,,,,,,,,,,,,,,
Select Venue,Select Venue,Seleccionar lugar,Sélectionner le lieu,Veranstaltungsort wählen,Selecionar local,Seleziona sede,Locatie selecteren,Выбрать площадку,会場を選択,장소 선택,选择场地,選擇場地,اختر المكان,स्थान चुनें,Mekan Seçin,Wybierz miejsce,เลือกสถานที่,Pilih Tempat
Select an element to edit properties,Select an element to edit properties,,,,,,,,,,,,,,,,,
Skipped,Skipped,,,,,,,,,,,,,,,,,
Spacing,Spacing,,,,,,,,,,,,,,,,,
Stage,Stage,,,,,,,,,,,,,,,,,
Standing,Standing,,,,,,,,,,,,,,,,,
Start Label,Start Label,,,,,,,,,,,,,,,,,
Tables,Tables,,,,,,,,,,,,,,,,,
Tags,Tags,,,,,,,,,,,,,,,,,
Ticket Holder,Ticket Holder,,,,,,,,,,,,,,,,,
Ticket Number,Ticket Number,Número de entrada,Numéro de billet,Ticketnummer,Número do ingresso,Numero biglietto,Ticketnummer,Номер билета,チケット番号,티켓 번호,票号,票號,رقم التذكرة,टिकट नंबर,Bilet numarası,Numer biletu,หมายเลขตั๋ว,Nomor tiket
Tickety vs Market,Tickety vs Market,,,,,,,,,,,,,,,,,
Today,Today,,,,,,,,,,,,,,,,,
Tomorrow,Tomorrow,,,,,,,,,,,,,,,,,
Type,Type,Tipo,Type,Typ,Tipo,Tipo,Type,Тип,タイプ,유형,类型,類型,النوع,प्रकार,Tür,Typ,ประเภท,Tipe
Upgrade,Upgrade,Mejorar,Mettre à niveau,Upgraden,Atualizar,Aggiorna,Upgraden,Обновить,アップグレード,업그레이드,升级,升級,ترقية,अपग्रेड,Yükselt,Uaktualnij,อัปเกรด,Tingkatkan
VERIFYING TICKET,VERIFYING TICKET,,,,,,,,,,,,,,,,,
VERIFYING...,VERIFYING...,,,,,,,,,,,,,,,,,
Venue Name,Venue Name,Nombre del lugar,Nom du lieu,Name des Veranstaltungsortes,Nome do local,Nome del luogo,Locatienaam,Название площадки,会場名,장소 이름,场馆名称,場館名稱,اسم المكان,स्थल का नाम,Mekan adı,Nazwa miejsca,ชื่อสถานที่,Nama Tempat
Verified,Verified,,,,,,,,,,,,,,,,,
Vibe,Vibe,,,,,,,,,,,,,,,,,
Virtual,Virtual,Virtual,Virtuel,Virtuell,Virtual,Virtuale,Virtueel,Виртуальное,バーチャル,가상,线上,線上,افتراضي,वर्चुअल,Sanal,Wirtualny,เสมือนจริง,Virtual
WC,WC,,,,,,,,,,,,,,,,,
Waiting,Waiting,,,,,,,,,,,,,,,,,
Website,Website,,,,,,,,,,,,,,,,,
Yesterday,Yesterday,,,,,,,,,,,,,,,,,
about,About,Acerca de,À propos,Über,Sobre,Informazioni,Over,О приложении,概要,정보,关于,關於,حول,के बारे में,Hakkında,O aplikacji,เกี่ยวกับ,Tentang
ach_bank_transfer_info,ACH bank transfer • Settles in 4-5 days,,,,,,,,,,,,,,,,,
activity,activity,,,,,,,,,,,,,,,,,
add,add,,,,,,,,,,,,,,,,,
add_funds_ach_fee,ACH Fee,Comisión ACH,Frais ACH,ACH-Gebühr,Taxa ACH,Commissione ACH,ACH-kosten,Комиссия ACH,ACH手数料,ACH 수수료,ACH费用,ACH費用,رسوم ACH,ACH शुल्क,ACH ücreti,Opłata ACH,ค่าธรรมเนียม ACH,Biaya ACH
add_funds_ach_settlement_notice,ACH transfers settle in 4-5 business days.,Las transferencias ACH se liquidan en 4-5 días hábiles.,Les transferts ACH sont réglés en 4-5 jours ouvrables.,ACH-Überweisungen werden in 4-5 Werktagen abgewickelt.,Transferências ACH são liquidadas em 4-5 dias úteis.,I trasferimenti ACH vengono regolati in 4-5 giorni lavorativi.,ACH-overboekingen worden verwerkt in 4-5 werkdagen.,ACH-переводы обрабатываются за 4-5 рабочих дней.,ACH送金は4-5営業日で決済されます。,ACH 이체는 4-5 영업일 내에 정산됩니다.,ACH转账在4-5个工作日内结算。,ACH轉帳在4-5個工作日內結算。,تتم تسوية تحويلات ACH في 4-5 أيام عمل.,ACH ट्रांसफर 4-5 कार्यदिवसों में निपटान होता है।,ACH transferleri 4-5 iş gününde tamamlanır.,Przelewy ACH są rozliczane w 4-5 dni roboczych.,การโอน ACH จะเสร็จสิ้นใน 4-5 วันทำการ,Transfer ACH diselesaikan dalam 4-5 hari kerja.
add_funds_amount,Amount,Monto,Montant,Betrag,Valor,Importo,Bedrag,Сумма,金額,금액,金额,金額,المبلغ,राशि,Tutar,Kwota,จำนวน,Jumlah
add_funds_button_with_total,Add Funds ({0}),Agregar fondos ({0}),Ajouter des fonds ({0}),Guthaben aufladen ({0}),Adicionar fundos ({0}),Aggiungi fondi ({0}),Geld toevoegen ({0}),Пополнить ({0}),資金を追加 ({0}),자금 추가 ({0}),充值 ({0}),充值 ({0}),إضافة أموال ({0}),धन जोड़ें ({0}),Para ekle ({0}),Dodaj środki ({0}),เพิ่มเงิน ({0}),Tambah Dana ({0})
add_funds_custom,Custom Amount,Monto personalizado,Montant personnalisé,Benutzerdefinierter Betrag,Valor personalizado,Importo personalizzato,Aangepast bedrag,Произвольная сумма,カスタム金額,사용자 지정 금액,自定义金额,自定義金額,مبلغ مخصص,कस्टम राशि,Özel tutar,Kwota niestandardowa,จำนวนที่กำหนดเอง,Jumlah Kustom
add_funds_fee_breakdown,Fee Breakdown,Desglose de comisiones,Détail des frais,Gebührenübersicht,Detalhamento de taxas,Dettaglio commissioni,Kostenspecificatie,Детализация комиссий,手数料内訳,수수료 내역,费用明细,費用明細,تفصيل الرسوم,शुल्क विवरण,Ücret dökümü,Szczegóły opłat,รายละเอียดค่าธรรมเนียม,Rincian Biaya
add_funds_from_bank,From Bank,Desde banco,Depuis la banque,Von Bank,Do banco,Da banca,Van bank,Из банка,銀行から,은행에서,从银行,從銀行,من البنك,बैंक से,Bankadan,Z banku,จากธนาคาร,Dari Bank
add_funds_no_bank,No Bank Account,Sin cuenta bancaria,Aucun compte bancaire,Kein Bankkonto,Sem conta bancária,Nessun conto bancario,Geen bankrekening,Нет банковского счёта,銀行口座なし,은행 계좌 없음,无银行账户,無銀行帳戶,لا يوجد حساب بنكي,कोई बैंक खाता नहीं,Banka hesabı yok,Brak konta bankowego,ไม่มีบัญชีธนาคาร,Tidak ada Rekening Bank
add_funds_no_bank_desc,Link a bank account to add funds via ACH.,Vincule una cuenta bancaria para agregar fondos vía ACH.,Liez un compte bancaire pour ajouter des fonds par ACH.,"Verknüpfen Sie ein Bankkonto, um Guthaben per ACH aufzuladen.",Vincule uma conta bancária para adicionar fundos via ACH.,Collega un conto bancario per aggiungere fondi tramite ACH.,Koppel een bankrekening om geld via ACH toe te voegen.,Привяжите банковский счёт для пополнения через ACH.,ACH経由で資金を追加するには銀行口座を連携してください。,ACH를 통해 자금을 추가하려면 은행 계좌를 연결하세요.,关联银行账户以通过ACH充值。,關聯銀行帳戶以通過ACH充值。,اربط حساباً بنكياً لإضافة أموال عبر ACH.,ACH के माध्यम से फंड जोड़ने के लिए बैंक खाता लिंक करें।,ACH ile fon eklemek için banka hesabı bağlayın.,"Połącz konto bankowe, aby dodać środki przez ACH.",เชื่อมต่อบัญชีธนาคารเพื่อเพิ่มเงินผ่าน ACH,Hubungkan rekening bank untuk menambah dana via ACH.
add_funds_title,Add Funds,Agregar fondos,Ajouter des fonds,Guthaben aufladen,Adicionar fundos,Aggiungi fondi,Geld toevoegen,Пополнить,資金を追加,자금 추가,充值,充值,إضافة أموال,धन जोड़ें,Para ekle,Dodaj środki,เพิ่มเงิน,Tambah Dana
add_funds_topup_processing,Top-up processing...,Procesando recarga...,Rechargement en cours...,Aufladung wird verarbeitet...,Processando recarga...,Elaborazione ricarica...,Opwaardering wordt verwerkt...,Обработка пополнения...,チャージ処理中...,충전 처리 중...,充值处理中...,充值處理中...,جارٍ معالجة الشحن...,टॉप-अप प्रोसेसिंग...,Yükleme işleniyor...,Przetwarzanie doładowania...,กำลังดำเนินการเติมเงิน...,Proses top-up...
add_funds_total_bank_debit,Total Bank Debit,Total débito bancario,Total débit bancaire,Gesamtbelastung Bank,Total débito bancário,Totale addebito bancario,Totaal bankafschrijving,Итого списание с банка,銀行引き落とし合計,총 은행 인출,银行扣款总额,銀行扣款總額,إجمالي الخصم البنكي,कुल बैंक डेबिट,Toplam banka borcu,Łączne obciążenie bankowe,ยอดหักบัญชีธนาคาร,Total Debit Bank
add_funds_wallet_credit,Wallet Credit,Crédito de billetera,Crédit portefeuille,Wallet-Guthaben,Crédito de carteira,Credito portafoglio,Portemonnee-tegoed,Кредит кошелька,ウォレットクレジット,지갑 크레딧,钱包入账,錢包入帳,رصيد المحفظة,वॉलेट क्रेडिट,Cüzdan kredisi,Kredyt portfela,เครดิตกระเป๋าเงิน,Kredit Dompet
add_ons,Add-ons,,,,,,,,,,,,,,,,,
add_product,Add Product,,,,,,,,,,,,,,,,,
add_seating_chart,Add Seating Chart,,,,,,,,,,,,,,,,,
add_staff,Add Staff,,,,,,,,,,,,,,,,,
add_staff_member,Add Staff Member,,,,,,,,,,,,,,,,,
add_to_apple_wallet,Add to Apple Wallet,,,,,,,,,,,,,,,,,
add_to_google_wallet,Add to Google Wallet,,,,,,,,,,,,,,,,,
additional_details_optional,Additional details (optional),,,,,,,,,,,,,,,,,
adjust_limit,Adjust Limit,,,,,,,,,,,,,,,,,
admin_actions,Admin Actions,,,,,,,,,,,,,,,,,
admin_add_payment_method,Add Payment Method,Agregar Método de Pago,Ajouter un Moyen de Paiement,Zahlungsmethode Hinzufügen,Adicionar Método de Pagamento,Aggiungi Metodo di Pagamento,Betaalmethode Toevoegen,Добавить способ оплаты,支払い方法を追加,결제 수단 추가,添加支付方式,新增付款方式,إضافة طريقة الدفع,भुगतान विधि जोड़ें,Ödeme Yöntemi Ekle,Dodaj Metodę Płatności,เพิ่มวิธีการชำระเงิน,Tambah Metode Pembayaran
admin_cancel_series,Cancel Series,Cancelar Serie,Annuler la Série,Serie Abbrechen,Cancelar Série,Annulla Serie,Serie Annuleren,Отменить серию,シリーズをキャンセル,시리즈 취소,取消系列,取消系列,إلغاء السلسلة,सीरीज़ रद्द करें,Seriyi İptal Et,Anuluj Serię,ยกเลิกซีรีส์,Batalkan Seri
admin_cancel_series_confirm,This will cancel all future occurrences. This cannot be undone.,Esto cancelará todas las ocurrencias futuras. No se puede deshacer.,Cela annulera toutes les occurrences futures. Cette action est irréversible.,Dies wird alle zukünftigen Termine absagen. Dies kann nicht rückgängig gemacht werden.,Isso cancelará todas as ocorrências futuras. Não pode ser desfeito.,Questo annullerà tutte le occorrenze future. Non può essere annullato.,Dit annuleert alle toekomstige voorkomens. Dit kan niet ongedaan worden gemaakt.,Это отменит все будущие повторения. Это действие нельзя отменить.,今後のすべての開催がキャンセルされます。元に戻せません。,모든 향후 발생이 취소됩니다. 되돌릴 수 없습니다.,这将取消所有未来发生。此操作无法撤消。,這將取消所有未來發生。此操作無法撤銷。,سيتم إلغاء جميع الحدوث المستقبلية. لا يمكن التراجع عن هذا.,यह सभी भविष्य की घटनाओं को रद्द कर देगा। इसे पूर्ववत नहीं किया जा सकता।,"Bu, gelecekteki tüm tekrarları iptal edecek. Bu geri alınamaz.",To anuluje wszystkie przyszłe wystąpienia. Tej operacji nie można cofnąć.,การดำเนินการนี้จะยกเลิกการเกิดขึ้นในอนาคตทั้งหมด ไม่สามารถเลิกทำได้,Ini akan membatalkan semua kejadian mendatang. Tindakan ini tidak dapat dibatalkan.
admin_cancel_series_subtitle,Stop all future occurrences,Detener todas las ocurrencias futuras,Arrêter toutes les occurrences futures,Alle zukünftigen Termine stoppen,Parar todas as ocorrências futuras,Ferma tutte le occorrenze future,Stop alle toekomstige voorkomens,Остановить все будущие повторения,今後の開催をすべて停止,모든 향후 발생 중지,停止所有未来发生,停止所有未來發生,إيقاف جميع الحدوث المستقبلية,सभी भविष्य की घटनाओं को रोकें,Gelecekteki tüm tekrarları durdur,Zatrzymaj wszystkie przyszłe wystąpienia,หยุดการเกิดขึ้นในอนาคตทั้งหมด,Hentikan semua kejadian mendatang
admin_cash_already_enabled,Cash sales already enabled,Ventas en efectivo ya habilitadas,Ventes en espèces déjà activées,Barverkäufe bereits aktiviert,Vendas em dinheiro já habilitadas,Vendite in contanti già abilitate,Contante verkopen al ingeschakeld,Продажи за наличные уже включены,現金販売は既に有効です,현금 판매가 이미 활성화되어 있습니다,现金销售已启用,現金銷售已啟用,المبيعات النقدية مُفعّلة بالفعل,नकद बिक्री पहले से सक्षम,Nakit satışlar zaten etkin,Sprzedaż gotówkowa już włączona,การขายเงินสดเปิดใช้อยู่แล้ว,Penjualan tunai sudah diaktifkan
admin_cash_sales,Cash Sales,Ventas en Efectivo,Ventes en Espèces,Barverkäufe,Vendas em Dinheiro,Vendite in Contanti,Contante Verkopen,Продажи за наличные,現金販売,현금 판매,现金销售,現金銷售,مبيعات نقدية,नकद बिक्री,Nakit Satışlar,Sprzedaż Gotówkowa,การขายเงินสด,Penjualan Tunai
admin_cash_sales_description,Accept cash payments at the door.,Aceptar pagos en efectivo en la puerta.,Accepter les paiements en espèces à l'entrée.,Barzahlung an der Tür akzeptieren.,Aceitar pagamentos em dinheiro na porta.,Accetta pagamenti in contanti all'ingresso.,Accepteer contante betalingen bij de deur.,Принимать оплату наличными у входа.,入口で現金支払いを受け付けます。,입구에서 현금 결제를 받으세요.,在入口处接受现金付款。,在入口處接受現金付款。,قبول المدفوعات النقدية عند الباب.,दरवाजे पर नकद भुगतान स्वीकार करें।,Kapıda nakit ödeme kabul edin.,Przyjmuj płatności gotówkowe przy drzwiach.,รับชำระเงินสดที่ประตู,Terima pembayaran tunai di pintu masuk.
admin_cash_sales_enable,Enable cash sales,Habilitar ventas en efectivo,Activer les ventes en espèces,Barverkäufe aktivieren,Habilitar vendas em dinheiro,Abilita vendite in contanti,Contante verkopen inschakelen,Включить продажи за наличные,現金販売を有効にする,현금 판매 활성화,启用现金销售,啟用現金銷售,تمكين المبيعات النقدية,नकद बिक्री सक्षम करें,Nakit satışları etkinleştir,Włącz sprzedaż gotówkową,เปิดใช้การขายเงินสด,Aktifkan penjualan tunai
admin_cash_sales_enabled,Cash sales enabled!,¡Ventas en efectivo habilitadas!,Ventes en espèces activées !,Barverkäufe aktiviert!,Vendas em dinheiro habilitadas!,Vendite in contanti abilitate!,Contante verkopen ingeschakeld!,Продажи за наличные включены!,現金販売が有効になりました！,현금 판매가 활성화되었습니다!,现金销售已启用！,現金銷售已啟用！,تم تمكين المبيعات النقدية!,नकद बिक्री सक्षम!,Nakit satışlar etkinleştirildi!,Sprzedaż gotówkowa włączona!,เปิดใช้การขายเงินสดแล้ว!,Penjualan tunai diaktifkan!
admin_cash_sales_view,View cash sales,Ver ventas en efectivo,Voir les ventes en espèces,Barverkäufe anzeigen,Ver vendas em dinheiro,Visualizza vendite in contanti,Contante verkopen bekijken,Просмотр продаж за наличные,現金販売を表示,현금 판매 보기,查看现金销售,查看現金銷售,عرض المبيعات النقدية,नकद बिक्री देखें,Nakit satışları görüntüle,Wyświetl sprzedaż gotówkową,ดูการขายเงินสด,Lihat penjualan tunai
admin_cash_step_payment,Staff accepts payment from customer,El personal acepta el pago del cliente,Le personnel accepte le paiement du client,Personal nimmt Zahlung vom Kunden entgegen,Equipe aceita pagamento do cliente,Lo staff accetta il pagamento dal cliente,Personeel accepteert betaling van klant,Персонал принимает оплату от клиента,スタッフが顧客から支払いを受け取る,직원이 고객으로부터 결제를 받습니다,工作人员接受客户付款,工作人員接受客戶付款,يقبل الموظف الدفع من العميل,स्टाफ ग्राहक से भुगतान स्वीकार करता है,Personel müşteriden ödeme alır,Personel przyjmuje płatność od klienta,พนักงานรับชำระเงินจากลูกค้า,Staf menerima pembayaran dari pelanggan
admin_cash_step_pos,Staff issues ticket via POS,El personal emite el boleto por POS,Le personnel émet le billet via le TPV,Personal stellt Ticket über POS aus,Equipe emite ingresso via POS,Lo staff emette il biglietto tramite POS,Personeel geeft ticket uit via POS,Персонал выдает билет через POS,スタッフがPOSでチケットを発行,직원이 POS를 통해 티켓을 발행합니다,工作人员通过POS出票,工作人員透過POS出票,يصدر الموظف التذكرة عبر نقطة البيع,स्टाफ POS के माध्यम से टिकट जारी करता है,Personel POS üzerinden bilet verir,Personel wydaje bilet przez POS,พนักงานออกตั๋วผ่าน POS,Staf menerbitkan tiket melalui POS
admin_cash_step_reconciliation,Manager reconciles cash at end of event,El gerente reconcilia el efectivo al final del evento,Le responsable réconcilie la caisse en fin d'événement,Manager gleicht Bargeld am Ende des Events ab,Gerente reconcilia o dinheiro no final do evento,Il manager riconcilia i contanti alla fine dell'evento,Manager stemt contant geld af aan het einde van het evenement,Менеджер сверяет наличные в конце мероприятия,マネージャーがイベント終了時に現金を照合,매니저가 이벤트 종료 시 현금을 정산합니다,经理在活动结束时对账现金,經理在活動結束時對帳現金,يُطابق المدير النقد في نهاية الحدث,मैनेजर इवेंट के अंत में नकद का मिलान करता है,Yönetici etkinlik sonunda nakit mutabakatı yapar,Menedżer uzgadnia gotówkę na koniec wydarzenia,ผู้จัดการตรวจสอบเงินสดเมื่อสิ้นสุดกิจกรรม,Manajer merekonsiliasi uang tunai di akhir acara
admin_complete_setup,Complete Setup,Completar Configuración,Terminer la Configuration,Einrichtung Abschließen,Concluir Configuração,Completa Configurazione,Installatie Voltooien,Завершить настройку,セットアップを完了,설정 완료,完成设置,完成設定,إكمال الإعداد,सेटअप पूरा करें,Kurulumu Tamamla,Zakończ Konfigurację,ตั้งค่าเสร็จสิ้น,Selesaikan Pengaturan
admin_data,Data,Datos,Données,Daten,Dados,Dati,Gegevens,Данные,データ,데이터,数据,資料,بيانات,डेटा,Veri,Dane,ข้อมูล,Data
admin_data_subtitle,View event analytics and statistics,Ver análisis y estadísticas del evento,Voir les analyses et statistiques de l'événement,Eventanalysen und Statistiken anzeigen,Ver análises e estatísticas do evento,Visualizza analisi e statistiche dell'evento,Bekijk evenementanalyses en statistieken,Просмотр аналитики и статистики мероприятия,イベントの分析と統計を表示,이벤트 분석 및 통계 보기,查看活动分析和统计,查看活動分析與統計,عرض تحليلات وإحصائيات الحدث,इवेंट एनालिटिक्स और आंकड़े देखें,Etkinlik analizlerini ve istatistiklerini görüntüle,Wyświetl analizy i statystyki wydarzenia,ดูการวิเคราะห์และสถิติกิจกรรม,Lihat analitik dan statistik acara
admin_edit_event,Edit Event,Editar Evento,Modifier l'Événement,Event Bearbeiten,Editar Evento,Modifica Evento,Evenement Bewerken,Редактировать мероприятие,イベントを編集,이벤트 편집,编辑活动,編輯活動,تعديل الحدث,इवेंट संपादित करें,Etkinliği Düzenle,Edytuj Wydarzenie,แก้ไขกิจกรรม,Edit Acara
admin_edit_event_subtitle,Update event details,Actualizar detalles del evento,Mettre à jour les détails de l'événement,Eventdetails aktualisieren,Atualizar detalhes do evento,Aggiorna i dettagli dell'evento,Evenementdetails bijwerken,Обновить детали мероприятия,イベントの詳細を更新,이벤트 세부 정보 업데이트,更新活动详情,更新活動詳情,تحديث تفاصيل الحدث,इवेंट विवरण अपडेट करें,Etkinlik ayrıntılarını güncelle,Zaktualizuj szczegóły wydarzenia,อัปเดตรายละเอียดกิจกรรม,Perbarui detail acara
admin_embed_widget,Embed Widget,Widget integrado,Widget intégré,Widget einbetten,Widget incorporado,Widget incorporato,Widget insluiten,Встроенный виджет,埋め込みウィジェット,임베드 위젯,嵌入小部件,嵌入小工具,عنصر مضمن,एम्बेड विजेट,Gömülü Widget,Widget do osadzenia,วิดเจ็ตฝัง,Widget Sematkan
admin_embed_widget_subtitle,Add checkout to your website,Agregar pago a tu sitio web,Ajouter le paiement à votre site web,Checkout zu Ihrer Website hinzufügen,Adicionar checkout ao seu site,Aggiungi il checkout al tuo sito web,Voeg checkout toe aan uw website,Добавить оплату на ваш сайт,ウェブサイトにチェックアウトを追加,웹사이트에 결제 추가,将结账添加到您的网站,將結帳新增到您的網站,إضافة الدفع إلى موقعك,अपनी वेबसाइट में चेकआउट जोड़ें,Web sitenize ödeme ekleyin,Dodaj kasę do swojej strony,เพิ่มการชำระเงินในเว็บไซต์ของคุณ,Tambahkan checkout ke situs web Anda
admin_enable_cash_sales,Enable Cash Sales,Habilitar Ventas en Efectivo,Activer les Ventes en Espèces,Barverkäufe Aktivieren,Habilitar Vendas em Dinheiro,Abilita Vendite in Contanti,Contante Verkopen Inschakelen,Включить продажи за наличные,現金販売を有効にする,현금 판매 활성화,启用现金销售,啟用現金銷售,تمكين المبيعات النقدية,नकद बिक्री सक्षम करें,Nakit Satışları Etkinleştir,Włącz Sprzedaż Gotówkową,เปิดใช้การขายเงินสด,Aktifkan Penjualan Tunai
